آی	/ɒːj/
گجراتی	/ɡod͡ʒæɾɒːtiː/
گچ	/ɡæt͡ʃ/
گدایی	/ɡedɒːjiː/
گدایی زدن	/ɡedɒːjiːzædæn/
گذاشتن	/ɡozɒːʃtæn/
گذاشتن	/to puːt/
گذر	/ɡozæɾ/
گذر کردن	/ɡozæɾkæɾdæn/
گذرنامه	/ɡozæɾnɒːme/
گذشتن	/ɡozæʃtæn/
گذشته	/ɡozæʃte/
گذشته ی بعید	/ɡozæʃteje bæʔiːd/
گیر	/ɡiːɾ/
گر	/ɡoɾ/
گراز	/ɡeɾɒːz/
گراز دریایی	/ɡoɾɒːze dæɾjɒːjiː/
گرایش جنسی	/ɡæɾɒːjeʃe d͡ʒensiː/
گران	/ɡeɾɒːn/
گیر آوردن	/ɡiːɾɒːvæɾdæn/
گریبان	/ɡæɾiːbɒːn/
گربه	/ɡoɾbe/
گربۀ ایرانی	/ɡoɾbeje iːɾɒːniː/
گربۀ پشمالو	/ɡoɾbeje pæʃmɒːluː/
گریپ فروت	/ɡeɾiːpfoɾuːt/
گرجی	/ɡoɾd͡ʒiː/
گرجستان	/ɡoɾd͡ʒestɒːn/
گرچه	/ɡæɾt͡ʃe/
گرد	/ɡæɾd/
گرد	/ɡeɾd/
گردش کار	/ɡæɾdeʃekɒːɾ/
گردن	/ɡæɾdæn/
گردن بند	/ɡæɾdæn bænd/
گردن زدن	/ɡæɾdæn zædæn/
گردن زدن	/ɡæɾdænzædæn/
گردن گرفتن	/ɡæɾdænɡeɾeftæn/
گرده	/ɡoɾde/
گردو	/ɡeɾduː/
گریز	/ɡoɾiːz/
گرز	/ɡoɾz/
گریز زدن	/ɡoɾiːzzædæn/
گریستن	/ɡeɾiːstæn/
گرسنگی	/ɡoɾosneɡiː/
گرسنگی	/ɡɾosnæɡiː/, /ɡɾosneɡiː/
گرسنگی کشیدن	/ɡoɾosneɡiːkeʃiːdæn/
گرسنه	/ɡoɾosne/
گرفت	/ɡeɾeft/
گرفتن	/ɡeɾæftæn/
گرفتن	/ɡeɾeftæn/
گرگ	/ɡoɾɡ/
گر گرفتن	/ɡoɾɡeɾeftæn/
گرگینه	/ɡoɾɡiːne/
گرم	/ɡæɾm/
گرمی	/ɡæɾmiː/
گرم	/ɡeɾæm/
گرما	/ɡæɾmɒː/
گرمساز	/ɡæɾmsɒːz/
گرمک	/ɡæɾmæk/
گرمکن	/ɡæɾmkon/
گرین کارت	/ɡɾiːn kɒːɾt/
گرینلند	/ɡɾiːnlænd/
گره	/ɡeɾe/, /ɡeɾeh/
گریه	/ɡeɾje/
گیره	/ɡiːɾe/
گریه افتادن	/ɡeɾjeoftɒːdæn/
گریه انداختن	/ɡeɾjeændɒːxtæn/
گره خوردن	/ɡeɾehxoɾdæn/
گره زدن	/ɡeɾehzædæn/
گریه زدن	/ɡeɾjezædæn/
گریه کردن	/ɡeɾje kæɾdæn/
گریه کردن	/ɡeɾjekæɾdæn/
گریه گرفتن	/ɡeɾjeɡeɾeftæn/
گروزنی	/ɡɾuːzniː/
گریونا	/ɡɾiːvnɒː/
گروه	/ɡoɾuːh/
گروه	/ɡoɾuːhʔ/
گروه واژه	/ɡoɾuːh vɒːʒe/
گزارش	/ɡozɒːɾeʃ/
گزارشی	/ɡozɒːɾeʃiː/
گزارش دادن	/ɡozɒːɾeʃdɒːdæn/
گزاره	/ɡozɒːɾe/
گزاف گفتن	/ɡæzɒːf ɡoftæn/
گزیدن	/ɡæziːdæn/
گزر	/ɡæzæɾ/
گزنه	/ɡæzne/
گزینه	/ɡoziːne/
گستاخ	/ɡostɒːx/
گستردن	/ɡostæɾdæn/
گسترده	/ɡostæɾde/
گسترده شدن	/ɡostæɾdæ ʃodæn/, /ɡostæɾde ʃodæn/
گسترش	/ɡostæɾeʃ/
گسترش یافتن	/ɡostæɾeʃjɒːftæn/
گسترش دادن	/ɡostæɾeʃdɒːdæn/
گشت	/ɡæʃt/
گشتاپو	/ɡestɒːpuː/
گشت زدن	/ɡæʃtzædæn/
گشتن	/ɡæʃtæn/
گشنیز	/ɡeʃniːz/
گشودن	/ɡoʃuːdæn/
گفتار	/ɡoftɒːɾ/
گفتگو	/ɡofteɡuː/ɡoftoɡuː/
گفتگو	/ɡofteɡuː/, /ɡoftoɡuː/, /ɡoftɡuː/
گفتگو کردن	/ɡofteɡuːkæɾdæn/
گفتن	/ɡoftæn/
گفته	/ɡofte/
گفته شدن	/ɡofte ʃodæn/
گفت و گو	/ɡoft o ɡuː/
گیک	/ɡiːk/
گل	/ɡel/
گل	/ɡol /
گل	/ɡol/
گلاب	/ɡolɒːb/
گلابی	/ɡolɒːbiː/
گیلارد	/ɡiːlɒːɾd/
گیلاس	/ɡiːlɒːs/
گلاسنوست	/ɡlɒːsnost/
گل آفتاب‌گردان	/ɡol æftɒːb ɡæɾdɒːn/
گلایه	/ɡelɒːje/
گلایه کردن	/ɡelɒːjekæɾdæn/
گل آویز	/ɡolɒːviːz/
گلپر	/ɡolpæɾ/
گل خوردن	/ɡolxoɾdæn/
گل دادن	/ɡoldɒːdæn/
گلدان	/ɡoldɒːn/
گلزار	/ɡolzɒːɾ/
گل زدن	/ɡol zædæn/
گل زدن	/ɡolzædæn/
گلف	/ɡolf/
گیلک	/ɡiːlæk/
گل کردن	/ɡol kæɾdæn/
گل کلم	/ɡole kælæm/
گل‌کلم	/ɡolkælæm/
گیلگمش	/ɡiːlɡæmeʃ/
گلو	/ɡæluː/
گلوگاه	/ɡæluːɡɒːh/
گلوله	/ɡoluːle/
گلوله بستن	/ɡoluːlebæstæn/
گلوله خوردن	/ɡoluːlexoɾdæn/
گلوله زدن	/ɡoluːlezædæn/
گماردن	/ɡomɒːɾdæn/
گمان 	/ɡomɒːn/
گمان	/ɡomɒːn/
گمان بردن	/ɡomɒːn boɾdæn/
گمان بردن	/ɡomɒːnboɾdæn/
گمان زدن	/ɡomɒːnzædæn/
گمان  کردن	/ɡomɒːnkæɾdæn/
گمان کردن	/ɡomɒːn kæɾdæn/
گمانه	/ɡomɒːne/
گمانه زدن	/ɡomɒːnezædæn/
گم کردن	/ɡom kæɾdæn/
گناه	/ɡonɒːh/
گناهکار	/ɡonɒːhkɒːɾ/
گناه کبیره	/ɡonɒːhe kæbiːɾe/
گناه کردن	/ɡonɒːhkæɾdæn/
گنبد	/ɡonbæd/
گنجشک	/ɡond͡ʒeʃk/
گنجینه	/ɡænd͡ʒiːne/
گنجه	/ɡænd͡ʒe/
گند	/ɡænd/
گند زدن	/ɡændzædæn/
گند کشیدن	/ɡændkeʃiːdæn/
گندم	/ɡændom/
گندمی	/ɡændomiː/
گنیس	/ɡnejs/
گنگ	/ɡænɡ/
گنگ	/ɡonɡ/
گنوستیسیزم	/ɡnostiːsiːzm/
گنوستیک	/ɡnostiːk/
گه	/ɡoh/
گیهان	/ɡeiːhɒːn/
گهگاه	/ɡæhɡɒːh/
گو	/ɡoʊ/
گو	/ɡuː/
گویان	/ɡuːjɒːn/
گواهی‌نامه رانندگی	/ɡovɒːhiːnɒːmeje ɾɒːnændeɡiː/
گواوا	/ɡvɒːvɒː/
گوته	/ɡote/, /ɡuːte/
گوجه	/ɡoʊd͡ʒe/
گوجه	/ɡod͡ʒe/
گوجه فرنگی	/ɡod͡ʒe fæɾænɡiː/
گود	/ɡoʊd/
گود افتادن	/ɡoʊdoftɒːdæn/
گودال	/ɡouːdɒːl/
گوراسب	/ɡuːɾɒːsb/
گورخر	/ɡuːɾexæɾ/
گورستان	/ɡuːɾestɒːn/
گورکن	/ɡuːɾkæn/
گوریل	/ɡoɾiːl/
گوز	/ɡuːz/
گوزن	/ɡævæzn/
گوساله	/ɡuːsɒːle/
گوسفند	/ɡosfænd/
گوسفند	/ɡuːsfænd/
گوش	/ɡuːʃ/
گویش	/ɡuːjeʃ/
گوشت	/ɡoʃt/
گوشت	/ɡuːʃt/
گوشتخوار	/ɡuːʃtxɒːɾ/
گوش دادن	/ɡuːʃ dɒːdæn/
گوش دادن	/ɡuːʃdɒːdæn/
گوش رسیدن	/ɡuːʃɾesiːdæn/
گوش کردن	/ɡuːʃ kæɾdæn/
گوش کردن	/ɡuːʃkæɾdæn/
گوشمالی دادن	/ɡuːŝmɒːliː dɒːdæn/
گوشه	/ɡuːʃe/
گوشه و کنایه	/ɡuːʃe o kenɒːje/
گوشه و کنایه زدن	/ɡuːʃeokenɒːjezædæn/
گول	/ɡuːl/
گولاگ	/ɡuːlɒːɡ/
گول خوردن	/ɡuːlxoɾdæn/
گول زدن	/ɡuːlzædæn/
گیومه	/ɡiːjuːme/
گونیا	/ɡuːniːjɒː/
گوندولا	/ɡondolɒː/
گونه	/ɡuːnæ/
گونه	/ɡuːne/
گیوه	/ɡiːve/
گویه	/ɡuːje/
گوهر	/ɡohæɾ/
گياه	/ɡiːjɒːh/
گير دادن قلاب	/ɡiːɾ dɒːdæne ɢollɒːb/
لاتین	/lɒːtiːn/
لاتویایی	/lɒːtviːjɒːjiː/
لاجوردی	/lɒːd͡ʒevæɾdiː/
لاجورد	/lɒːd͡ʒvæɾd/
لادا	/lɒːdɒː/
لازم	/lɒːzem/
لاس	/lɒːs/
لاستیک	/lɒːstiːk/
لاس زدن	/lɒːszædæn/
لاف	/lɒːf/
لاف زدن	/lɒːfzædæn/
لاک	/lɒːk/
لاک‌پشت	/lɒːkpoʃt/
لاک زدن	/lɒːkzædæn/
لاکشمی	/lɒːkʃmiː/
لال	/lɒːl/
لالمونی	/lɒːlmuːniː/
لالمونی گرفتن	/lɒːlmuːniːɡeɾeftæn/
لاله	/lɒːle/
لاندا	/lɒːndɒː/
لانه	/lɒːne/
لائوس	/lɒːʔos/
لب	/læb/
لبی	/læbiː/
لیبی	/liːbiː/
لباس	/lebɒːs/
لباس شنا	/lebɒːse ʃenɒː/
لبخند	/læbxænd/
لبخند زدن	/læbxændzædæn/
لیبیدو	/liːbiːdo/, /liːbiːduː/
لب زدن	/læbzædæn/
لب گرفتن	/læb ɡeɾeftæn/
لبنان	/lobnɒːn/
لب‌های بزرگ	/læbhɒːje bozoɾɡ/
لب‌های کوچک	/læbhɒːje kuːt͡ʃek/
لپ	/lop/
لپ	/lopp/
لیتر	/liːtɾ/
لیتوانی	/liːtvɒːniː/
لیتوانیایی	/liːtvɒːniːjɒːjiː/
لتونی	/letuːniː/
لثه	/læse/
لثه	/læse/, /lese/
لج	/læd͡ʒ/
لجاجت	/led͡ʒɒːd͡ʒæt/
لجاجت کردن	/led͡ʒɒːd͡ʒætkæɾdæn/
لجام	/led͡ʒɒːm/
لجام زدن	/leɡɒːmzædæn/
لج کردن	/læd͡ʒkæɾdæn/
لجن	/læd͡ʒæn/
لجن زدن	/læd͡ʒænzædæn/
لحظه	/læhze/
لیختن‌اشتاین	/liːxteneʃtɒːjn/
لذت	/lezzæt/
لذت بردن	/lezzætboɾdæn/
لذیذ	/læziːz/
لرز	/læɾz/
لرزیدن	/læɾziːdæn/
لرزش	/læɾzeʃ/
لرز گرفتن	/læɾzɡeɾeftæn/
لیز	/liːz/
لژیون	/leʒiːon/
لیس	/liːs/
لیسبون	/liːsbon/
لیسیدن	/liːsiːdæn/
لیس زدن	/liːszædæn/
لش	/læʃ/
لطفا	/lotfæn/
لطمه	/lætme/
لطمه خوردن	/lætmexoɾdæn/
لطمه زدن	/lætmezædæn/
لعنتی	/læʔnætiː/
لغت‌نامه	/loɢætnɒːme/
لیف	/liːf/
لیف زدن	/liːfzædæn/
لیف کشیدن	/liːfkeʃiːdæn/
لق	/læɢ/
لقب	/læɢæb/
لقب گرفتن	/læɢæbɡeɾeftæn/
لق خوردن	/læɢxoɾdæn/
لق زدن	/læɢzædæn/
لقمه	/loɢme/
لقمه گرفتن	/loɢmeɡeɾeftæn/
لک	/læk/
لک شدن	/lækʃodæn/
لک‌لک	/læklæk/
لکنت	/loknæt/
لکنت افتادن	/loknætoftɒːdæn/
لکهٔ زرد	/lækkeje zæɾd/
لگام	/leɡɒːm/
لگام زدن	/led͡ʒɒːmzædæn/
لگد	/læɡæd/
لگد خوردن	/læɡædxoɾdæn/
لگد زدن	/læɡædzædæn/
لگد کردن	/læɡædkæɾdæn/
لگو	/leɡuː/, /leɡo/
لمباندن	/lombɒːndæn/
لمس	/læms/
لمس کردن	/læms kæɾdæn/
لیمو	/liːmuː/
لیمویی	/liːmuːjiː/
لیموترش	/liːmuːtoɾʃ/
لیمون	/liːmuːn/
لندن	/lændæn/
لندن بزرگ	/lændæne bozoɾɡ/
لنز	/lenz/
لنز گذاشتن	/lenzɡozɒːʃtæn/
لینکلن	/liːnkoln/
لنگ	/lænɡ/
لنگرگاه	/lænɡæɾɡɒːh/
لنگ زدن	/lænɡzædæn/
لهجه	/læhd͡ʒe/
لهستان	/læhestɒːn/
لهستانی	/lehestɒːniː/
له له	/læhlæh/
له له زدن	/læhlæhzædæn/
لو	/loʊ/
لواش	/lævɒːʃ/
لیوان	/liːvɒːn/
لوبیا	/luːbiːjɒː/
لوت	/luːt/
لوتوس	/lotuːs/
لو دادن	/loʊdɒːdæn/
لیورپول	/liːvæɾpuːl/
لو رفتن	/loʊɾæftæn/
لوزون	/luːzon/
لوکزامبورگ	/luːkzɒːmbuːɾɡ/
لوله‌کش	/luːlekeʃ/
لوور	/luːvɾ/
می	/mej/
ما	/mɒː/
مایا	/mɒːjɒː/
مات	/mɒːt/
ماتروشکا	/mɒːtɾuːʃkɒː/
مات زدن	/mɒːtzædæn/
ماتیک	/mɒːtiːk/
مات کردن	/mɒːt kæɾdæn/
ماتیک زدن	/mɒːtiːkzædæn/
ماتم	/mɒːtæm/
ماتم گرفتن	/mɒːtæmɡeɾeftæn/
ماجورو	/mɒːd͡ʒoɾo/
ماچ	/mɒːt͡ʃ/
ماچ کردن	/mɒːt͡ʃ kæɾdæn/
ماچ کردن	/mɒːt͡ʃkæɾdæn/
ماچین	/mɒːt͡ʃiːn/
مادام	/mɒːdɒːm/
مادر	/mɒːdæɾ/
مادراندر	/mɒːdæɾændæɾ/
مادربزرگ	/mɒːdæɾbozoɾɡ/
مادرجد	/mɒːdæɾd͡ʒædd/
مادر جنده	/mɒːdæɾ d͡ʒende/
مادرخوانده	/mɒːdæɾxwɒːnde/
مادرزن	/mɒːdæɾzæn/
مادرشوهر	/mɒːdæɾʃoʊhæɾ/
مادّه	/mɒːdde/
ماده تاریک	/mɒːddeje tɒːɾiːk/
ماده‌خوک	/mɒːdexuːk/
ماده‌گاو	/mɒːdeɡɒːv/
مار	/mɒːɾ/
ماراتی	/mæɾɒːtiː/
ماریجوانا	/mɒːɾiːxuːɒːnɒː/
مارچوبه	/mɒːɾt͡ʃuːbe/
مارخوار	/mɒːɾxɒːɾ/
مارخور	/mɒːɾxoɾ/
مار زدن	/mɒːɾzædæn/
مارس	/mɒːɾs/
مارک	/mɒːɾk/
مارکس	/mɒːɾks/
مارگارین	/mɒːɾɡɒːɾiːn/
مارماهی	/mɒːɾmɒːhiː/
مارمولک	/mɒːɾmolæk/
مارمولک	/mɒːɾmuːlæk/
مارى	/mɒːɾiː/
مازندران	/mɒːzændæɾɒːn/
ماژیک	/mɒːʒiːk/
ماساژ	/mɒːsɒːʒ/
ماسا�� دادن	/mɒːsɒːʒdɒːdæn/
ماست	/mɒːst/
ماسک	/mɒːsk/
ماسک زدن	/mɒːskzædæn/
ماسه	/mɒːse/
ماسه بادی	/mɒːsse bɒːdiː/
ماشین	/mɒːʃiːn/
ماشین پارک	/mɒːʃiːne pɒːɾk/
ماشین حساب	/mɒːʃiːne hesɒːb/
ماشین‌حساب	/mɒːʃiːnhesɒːb/
ماشین زدن	/mɒːʃiːnzædæn/
ماشين برقي	/mɒːʃiːne bæɾɢiː/
ماضی	/mɒːziː/
مایع	/mɒːjeʔ/
ماک	/mɒːk/
ماکارونی	/mɒːkɒːɾoniː/
ماکائو	/mɒːkɒːo/
مایکروسافت	/mɒːjkɾosoft/
مایکوپ	/mɒːjkuːp/
ماگادان	/mɒːɡɒːdɒːn/
ماگاس	/mɒːɡɒːs/
ماگنیتوگورسک	/mɒːɡniːtuːɡuːɾsk/
مالی	/mɒːliː/
مالایی	/mɒːlɒːjiː/
مالیات	/mɒːliːjɒːt/
مالاریا	/mɒːlɒːɾjɒː/
مالت	/mɒːlt/
مالدار	/mɒːldɒːɾ/
مالدیو	/mɒːldiːv/
مالزی	/mɒːleziː/
مالزیایی	/mɒːleziːjɒːjiː/
مالش	/mɒːleʃ/
مالش دادن	/mɒːleʃdɒːdæn/
مامان	/mɒːmɒːn/
ماموت	/mɒːmuːt/
ماموریت	/mæʔmuːɾiːæt/
ماموریت گرفتن	/mæʔmuːɾiːætɡeɾeftæn/
میان	/miːjɒːn/
میان	/miːɒːn/
میانبر	/miːɒːnboɾ/
میانبر زدن	/miːɒːnboɾzædæn/
ماندارین	/mɒːndɒːɾiːn/
ماندگاری	/mɒːndeɡɒːɾiː/
ماندن	/mɒːndæn/
میاندوراه	/miːjɒːndoɾɒːh/
مانگا	/mɒːnɡɒː/
میان گذاشتن	/miːɒːnɡozɒːʃtæn/
میانمار	/mjɒːnmɒːɾ/
مانند	/mɒːnænd/
میانه	/miːjɒːne/
ماه	/mɒːh/
ماهی	/mɒːhiː/
ماه آینده	/mɒːhe ɒːjænde/
ماهی تابه	/mɒːhiːtɒːbe/
ماهیچه	/mɒːhiːt͡ʃe/
ماهی‌فروش	/mɒːhiːfoɾuːʃ/
ماهی قرمز	/mɒːhiːje ɢeɾmez/
ماه گذشته	/mɒːhe ɡozæʃte/
ماهی مرکب	/mɒːhiːje mæɾkæb/
مایونز	/mɒːjonez/
مائوری	/mɒːʔoɾiː/
مائوئیسم	/mɒːʔuːʔiːsm/
مبارزه	/mobɒːɾeze/
مبارزه کردن	/mobɒːɾezekæɾdæn/
مبارک باشه	/mobɒːɾæk bɒːʃe/
مبالغه	/mobɒːleɢe/
مبالغه کردن	/mobɒːleɢekæɾdæn/
مباهات	/mobɒːhɒːt/
مباهات کردن	/mobɒːhɒːtkæɾdæn/
مبتذل	/mobtæzæl/
مبل	/mobl/
مبلمان	/moblemɒːn/
می بینمت	/miː biːnæmet/
مبهم	/mobhæm/
متی	/mætiː/
متا	/metɒː/
متأسف‌ام	/motæʔsefæm/
متاسفانه	/motæʔæssefɒːne/
متحد	/mottæhed/
متد	/metod/
متر	/metɾ/
مترادف	/motæɾɒːdef/
مترجم	/motæɾd͡ʒem/
متریک	/metɾiːk/
متشکرم	/moteʃækeɾæm/
متغیر	/moteɢejjeɾ/
متغیر عضو	/moteɢejjeɾe ozv/
متن	/mætn/
متن ادبی	/mætne ædæbiː/
مته	/mæte/
متوجه شدید	/motevæd͡ʒd͡ʒe ʃodiːd/
میتوکندری	/miːtokondɾiː/
مثال	/mesɒːl/
مثال زدن	/mesɒːlzædæn/
مثانه	/mæssɒːne/
مثل	/mesle/
مثلا	/mæsælæn/
مثلث	/mosælæs/
مثلثات	/mosælæsɒːt/
مجار	/mæd͡ʒɒːɾ/
مجاری	/mæd͡ʒɒːɾiː/
مجارستان	/mæd͡ʒɒːɾestɒːn/
مجارستانی	/mæd͡ʒɒːɾestɒːniː/
مجازی	/mæd͡ʒɒːziː/
مجازات	/mod͡ʒɒːzɒːt/
مجازات شدن	/mod͡ʒɒːzɒːtʃodæn/
مجازات کردن	/mod͡ʒɒːzɒːtkæɾdæn/
مجانی	/mæd͡ʒd͡ʒɒːniː/
مجاهد	/mod͡ʒɒːhed/
مجاور	/mod͡ʒɒːveɾ/
مجروح	/mæd͡ʒɾuːh/
مجلس	/mæd͡ʒles/
مجله	/mæd͡ʒælle/
مجنون	/mæd͡ʒnuːn/
مجهول	/mæd͡ʒhuːl/
مجوسی	/mæd͡ʒuːsiː/
مچ	/mot͡ʃ/
مچ پا	/mot͡ʃe pɒː/
مچ دست	/mot͡ʃe dæst/
مچ گرفتن	/mot͡ʃɡeɾeftæn/
محاصره	/mohɒːseɾe/
محاصره شدن	/mohɒːseɾeʃodæn/
محاصره کردن	/mohɒːseɾekæɾdæn/
محاصره گرفتن	/mohɒːseɾeɡeɾeftæn/
محاکمه	/mohɒːkeme/
محاکمه کردن	/mohɒːkemekæɾdæn/
محبوب	/mæhbuːb/
محتوا	/mohtævɒː/
محراب	/mehɾɒːb/
محصول	/mæhsuːl/
محک	/mæhæk/
محک خوردن	/mæhækxoɾdæn/
محک زدن	/mæhækzædæn/
محک کردن	/mæhækkæɾdæn/
محکمه	/mæhkæme/
محل	/mæhæll/
محل	‎/mæhæll/
محلی	/mæhælliː/
محله	/mæhælle/
محمد	/mohæmmæd/
محو	/mæhv/
محو کردن	/mæhvkæɾdæn/
میخ	/miːx/
میخی	/miːxiː/
مخاچ‌قلعه	/mæxɒːt͡ʃɢælʔe/
مخاطب	/moxɒːtæb/
مخالف	/moxɒːlef/
مخالفت	/moxɒːlefæt/
مخالفت کردن	/moxɒːlefætkæɾdæn/
مخده	/mæxæddæh/
میخ زدن	/miːxzædæn/
مخصوصا	/mæxsuːsæn/
مخفی	/mæxfiː/
مخفي	/mæxfiː/
می‌خواست	/míxɒːst/
می‌خواستی	/míxɒːstiː/
می‌خواستید	/míxɒːstiːd/
می‌خواستم	/míxɒːstæm/
می‌خواستیم	/míxɒːstiːm/
می‌خواستند	/míxɒːstænd/
می‌خواهی	/míxɒːhiː/
می‌خواهد	/míxɒːhæd/
می‌خواهید	/míxɒːhiːd/
می‌خواهم	/míxɒːhæm/
می‌خواهیم	/míxɒːhiːm/
می‌خواهند	/míxɒːhænd/
مد	/mod/
مداد	/medɒːd/
مداد رنگی	/medɒːde ɾænɡiː/
مداد شمعی	/medɒːde ʃæmʔiː/
مداد نوکی	/medɒːde nokiː/
مدال	/medɒːl/
مدال طلا	/medɒːl e tælɒː/
میدان	/mejdɒːn/
میدان سرخ	/mejdɒːne soɾx/
مدت	/moddæt/
مدخل	/mædxæl/
مدد	/mædæd/
مدد گرفتن	/mædædɡeɾeftæn/
مدیر	/modiːɾ/
مدرسه	/mædɾese/
مدفوع	/mædfuːʔ/
مدور	/modævvæɾ/
مذی	/mæziː/
مذبح	/mæzbæh/
مذهب	/mæzhæb/
مذهب بودا	/mæzhæbe buːdɒː/
میر	/miːɾ/
م‍ﮩ‍ر	/mohoɾ/
مرا	/mæɾɒː/
مراعات	/moɾɒːʔɒːt/
مراعات کردن	/moɾɒːʔɒːtkæɾdæn/
مراکش	/mæɾɒːkeʃ/
مراکشی	/mæɾɒːkeʃiː/
مربع	/moɾæbæ/
مرجان	/mæɾd͡ʒɒːn/
مرحله	/mæɾhæle/
مریخ	/meɾɾiːx/
مریخی	/meɾɾiːxiː/
مرخصی	/moɾæxxæsiː/
مرخصی گرفتن	/moɾæxxæsiːɡeɾeftæn/
مرد	/mæɾd/
مرداد	/moɾdɒːd/
مردانگی	/mæɾdɒːneɡiː/
مردانه	/mæɾdɒːnæ/
مردانه	/mæɾdɒːne/
مردگی	/moɾdeɡiː/
مردم	/mæɾdom/
مردمسالاری	/mæɾdomsɒːlɒːɾiː/
مردم‌سالاری	/mæɾdomsɒːlɒːɾiː/
مردم‌شناسی	/mæɾdomʃenɒːsiː/
مردمک	/mæɾdomæk/
مردن	/moɾdæn/
مردن زدن	/moɾdænzædæn/
مرده	/moɾde/
مرسی	/meɾsiː/
مرض	/mæɾæz/
مریض	/mæɾiːz/
مرض قند	/mæɾæze ɢænd/
مرغ	/moɾɢ/
مرغابی	/moɾɢɒːbiː/
مرغابی جره	/moɾɢɒːbiːje d͡ʒæɾɾe/
مرغ خانگی	/moɾɢe xɒːneɡiː/
مرغ مگس‌خوار	/moɾɢe mæɡæsxɒːɾ/
مركزي	/mæɾkæziː/
مرکب	/moɾækkæb/
مرکز	/mæɾkæz/
مرگ	/mæɾɡ/
مریم	/mæɾjæm/
مرمر	/mæɾmæɾ/
مریم مقدس	/mæɾjæme moɢæddæs/
مرموز	/mæɾmuːz/
مرو	/mæɾv/
مروارید	/mæɾvɒːɾiːd/
مرور	/moɾuːɾ/
مرور کردن	/moɾuːɾkæɾdæn/
مرورگر	/moɾuːɾɡæɾ/
مريض	/mæɾiːz/
میز	/miːz/
مزار شریف	/mæzɒːɾe ʃæɾiːf/
میزان	/miːzɒːn/
میزان	/mîzɒːn/
مزد	/mozd/
می زدن	/mejzædæn/
مزرعه	/mæzɾæʔe/
مزمور	/mæzmuːɾ/
مژه	/moʒe/
مژه زدن	/moʒezædæn/
مس	/mes/
مسی	/mesiː/
مسابقه	/mosɒːbeɢe/
مسابقه دادن	/mosɒːbeɢedɒːdæn/
مسافر	/mosɒːfeɾ/
مسافرت کردن	/mosɒːfeɾæt kæɾdæn/
مسافرخانهچی	/mosæfeɾxɒːneht͡ʃiː/
مست	/mæst/
مستی	/mæstiː/
مستاجر	/mostɒːʔd͡ʒeɾ/
مست تلو تلو خوردن سست	/sost mæst/
مستی زدن	/mæstiːzædæn/
مستقل	/mostæɢel/
مستند	/mostænæd/
مستندات	/mostænædɒːt/
مسجد	/mæsd͡ʒed/
مسیح	/mæsiːh/
مسیحی	/mæsiːhiː/
مسیحیت	/mæsiːhiːjæt/
مسکه	/mæske/
مسکو	/moskuː/
مسلخ	/mæslæx/
مسلسل	/mosælsæl/
مسلسل گاتلینگ	/mosælsæl ɡɒːtliːnɡ/
مسلمان	/mosælmɒːn/
مسلمانی	/mosælmɒːniː/
مسلمون	/mosælmuːn/
مسین	/mesiːn/
مسواک	/mesvɒːk/
مسواک زدن	/mesvɒːkzædæn/
مسواک کردن	/mesvɒːkkæɾdæn/
مسئله	/mæsæle/
مش	/meʃ/
میش	/miːʃ/
مشابه	/moʃɒːbe/
مشام	/mæʃɒːm/
مشام زدن	/mæʃɒːmzædæn/
مشاهده	/moʃɒːhede/
مشاهده کردن	/moʃɒːhedekæɾdæn/
مشت	/moʃt/
مشتاق بودن	/moʃtɒːɢ buːdæn/
مشت خوردن	/moʃtxoɾdæn/
مشتری	/moʃtæɾiː/
مشت زدن	/moʃtzædæn/
مشتق	/moʃtæɢ/
مشتق گرفتن	/moʃtæɢɡeɾeftæn/
مشرق	/mæʃɾeɢ/
مشروب	/mæʃɾuːb/
مش زدن	/meʃzædæn/
مشغول	/mæʃɢuːl/
مشق	/mæʃɢ/
مشکی	/meʃkiː/
مشک	/moʃk/
مش کردن	/meʃkæɾdæn/
مشکل	/moʃkel/
مشیمیه	/mæʃiːmiːje/
مشنگ	/mæʃænɡ/
مشهد	/mæʃhæd/
مصاحبه	/mosɒːhebe/
مصاحبه کردن	/mosɒːhebekæɾdæn/
مصادره	/mosɒːdeɾe/
مصر	/mesɾ/
مصرف کننده	/mæsɾæfe konænde/
مضراب	/mezɾɒːb/
مطاله	/motɒːle/
مطاله کردن	/motɒːle kæɾdæn/
مطب	/mætæb/
مطب زدن	/mætæbzædæn/
مطبوعات	/mætbuːʔɒːt/
مطمئن	/motmæʔenn/, /motmæʔen/
مظلومیت	/mæzluːmiːæt/
مظلومیت زدن	/mæzluːmiːætzædæn/
معادله	/moʔɒːdele/
معیار	/meʔjɒːɾ/
معاشرت	/moʔɒːʃeɾæt/
معاشرت کردن	/moʔɒːʃeɾætkæɾdæn/
معاصر	/moʔɒːseɾ/
معالجه	/moʔɒːled͡ʒe/
معالجه شدن	/moʔɒːled͡ʒeʃodæn/
معالجه کردن	/moʔɒːled͡ʒekæɾdæn/
معامله	/moʔɒːmele/
معامله زدن	/moʔɒːmelezædæn/
معاینه	/moʔɒːjene/
معاینه کردن	/moʔɒːjenekæɾdæn/
معاهده	/moʔɒːhæde/
معتاد	/motɒːd/
معتبر	/moʔtæbæɾ/
معجزه	/moʔd͡ʒeze/
معجزه‌آسا	/moʔd͡ʒezeɒːsɒː/
معدنی	/mæʔdæniː/
معده	/meʔde/
