ก ข ไม่กระดิกหู	/mâj kràʔ dìk hǔː/
อัตวิสัย	/ʔàt tà wíʔ sǎj/
อัธยาศัย	/ʔàt tʰá jaː sǎj/
อัน	/ʔan/
อันเดียวกัน	/ʔan diːaw kan/
อันใด	/ʔan daj/
อันที่จริง	/ʔan tʰîː tɕiŋ/
อันนั้น	/ʔan nán/
อันนี้	/ʔan níː/
อันประกอบด้วย	/ʔan pràʔ kɔ̀ːp dûaj/
อันเป็นที่รัก	/ʔan pen tʰîː rák/
อันมีจิตสำนึก	/ʔan miː tɕìt sǎm nɯ́k/
อันสมควร	/ʔan sǒm kʰuːan/
อันสุดท้าย	/ʔan sùt tʰáːj/
อันไหน	/ʔan nǎj/
หวาดหวั่น	/wàːt wàn/
หวาน	/wǎːn/
หวานคอแร้ง	/wǎːn kʰɔː rɛ́ːŋ/
หวานจ๋อย	/wǎːn tɕɔ̌ːj/
หวานใจ	/wǎːn tɕaj/
หวานใจที่น่ารักของฉัน	/wǎːn tɕaj tʰîː nâː rák kʰɔ̌ːŋ tɕʰǎn/
หวานฉ่ำ	/wǎːn tɕʰàm/
หวานเชียว	/wǎːn tɕʰiːaw/
หวานแหวว	/wǎːn wɛ̌ːw/
หวานอม ขมกลืน	/wǎːn ʔom kʰǒm klɯːn/
หว่าน	/wàːn/
หว่านพืชหวังผล	/wàːn pʰɯ̂ːt wǎŋ pʰǒn/
หว่านเมล็ด	/wàːn má lét/
หว่านเสน่ห์	/wàːn sà nèː/
หว่านล้อม	/wàːn lɔ́ːm/
หวาย	/wǎːj/
หวายลิง	/wǎːj liŋ/
หวิด	/wìt/
หวิว	/wǐw/
หวิว ๆ	/wǐw wǐw/
หวี	/wǐː/
หวีผม	/wǐː pʰǒm/
หวีผมเรียบแปล้	/wǐː pʰǒm rîːap plɛ̂ː/
หวี่	/wìː/
หวีด	/wìːt/
หวีดร้อง	/wìːt rɔ́ːŋ/
หวีดหวิว	/wìːt wǐw/
หวือหวา	/wɯ̌ː wǎː/
หวุดหวิด	/wùt wìt/
หวูด	/wùːt/
หสน	/hà sà ná/
หอกลอง	/hɔ̌ː klɔːŋ/
หอการค้า	/hɔ̌ː kaːn kʰáː/
หอควบคุมการบิน	/hɔ̌ː kʰûːap kʰum kaːn bin/
หอคอย	/hɔ̌ː kʰɔːj/
หอจดหมายเหตุแห่งชาติ	/hɔ̌ː tɕòt mǎːj hèːt hɛ̀ŋ tɕʰâːt/
หอดูดาว	/hɔ̌ː duː daːw/
หอไตร	/hɔ̌ː traj/
หอถังเก็บน้ำ	/hɔ̌ː tʰǎŋ kèp náːm/
หอนาฬิกา	/hɔ̌ː naː líʔ kaː/
หอ นำ	/hɔ̌ː nam/
หอผู้ป่วย	/hɔ̌ː pʰûː pùaj/
หอพัก	/hɔ̌ː pʰák/
หอระฆัง	/hɔ̌ː ráʔ kʰaŋ/
หอวิทยุ	/hɔ̌ː wít tʰá júʔ/
เรียงหน้า	/riːaŋ nâː/
เรียด	/rîːat/
เรียน	/riːan/
เรียนจบ	/riːan tɕòp/
เรียนเชิญ	/riːan tɕʰɤːn/
เรียนต่อ	/riːan tɔ̀ː/
เรียนถาม	/riːan tʰǎːm/
เรียนทางเลือก	/riːan tʰaːŋ lɯ̂ːak/
เรียนประจำ	/riːan pràʔ tɕam/
เรียนพิเศษ	/riːan pʰíʔ sèːt/
เรียนภาษาไทย	/riːan pʰaː sǎː tʰaj/
เรียนภาษาอังกฤษ	/riːan pʰaː sǎː ʔaŋ krìt/
เรียนรู้	/riːan rúː/
เรียนสาย	/riːan sǎːj/
เรียนสำเร็จ	/riːan sǎm rèt/
เรียนหนังสือ	/riːan nǎŋ sɯ̌ː/
เรียบ	/rîːap/
เรียบร้อย	/rîːap rɔ́ːj/
เรียบร้อย	/rîːap rɔ́ːj/
เรียบร้อย	/rîːap rɔ́ːj/
เรียบร้อยโรงเรียนจีน	/rîːap rɔ́ːj roːŋ riːan tɕiːn/
เรียบร้อยแล้ว	/rîːap rɔ́ːj lɛ́ːw/
เรียบเรียง	/rîːap riːaŋ/
เรียบเรียงเสียงประสาน	/rîːap riːaŋ sǐːaŋ pràʔ sǎːn/
เรียบ ๆ	/rîːap rîːap/
เรียบง่าย	/rîːap ŋâːj/
เรี่ยม	/rîːam/
เรี่ยมเร้เรไร	/rîːam réʔ reː raj/
เรี่ยราย	/rîːa raːj/
เรี่ยไร	/rîːa raj/
เรียว	/riːaw/
เรี่ยว	/rîːaw/
เรี่ยวแรง	/rîːaw rɛːŋ/
เรือ	/rɯːa/
เรือกระแชง	/rɯːa kràʔ tɕʰɛːŋ/
เรือกรีก	/rɯːa krìːk/
เรือกลไฟ	/rɯːa kon faj/
เรือกัญญา	/rɯːa kan jaː/
เรือข้ามฝั่ง	/rɯːa kʰâːm fàŋ/
เรือข้ามฟาก	/rɯːa kʰâːm fâːk/
เรือขุด	/rɯːa kʰùt/
เรือคายัค 	/rɯːa kʰaː ják/
เรือแคนู	/rɯːa kʰɛː nuː/
ไม่แคร์	/mâj kʰɛː/
ไม่ใคร่	/mâj kʰrâj/
ไม่ใคร่จะ	/mâj kʰrâj tɕàʔ/
ไม่งอมืองอเท้ารับชะตากรรม	/mâj ŋɔː mɯː ŋɔː tʰáːw ráp tɕʰáʔ taː kam/
ไม่งั้น	/mâj ŋán/
ไม่ง่าย	/mâj ŋâːj/
ไม่จริง	/mâj tɕiŋ/
ไม่จำเป็นต้อง	/mâj tɕam pen tɔ̂ŋ/
ไม่จำเป็นต้อง	/mâj tɕam pen tɔ̂ŋ/
ไม่จำกัด	/mâj tɕam kàt/
ไม่จำกัดระยะทาง	/mâj tɕam kàt ráʔ jáʔ tʰaːŋ/
ไม่แจ่มชัด	/mâj tɕɛ̀m tɕʰát/
ไม่ช่วย	/mâj tɕʰûaj/
ไม่ชอบ	/mâj tɕʰɔ̂ːp/
ไม่ชอบ	/mâj tɕʰɔ̂ːp/
ไม่ชอบ	/mâj tɕʰɔ̂ːp/
ไม่ชอบกิน	/mâj tɕʰɔ̂ːp kin/
ไม่ชอบเขียน	/mâj tɕʰɔ̂ːp kʰǐːan/
ไม่ชอบเชื่อ	/mâj tɕʰɔ̂ːp tɕʰɯ̂ːa/
ไม่ชอบดื่ม	/mâj tɕʰɔ̂ːp dɯ̀ːm/
ไม่ชอบเดิน	/mâj tɕʰɔ̂ːp dɤːn/
ไม่ชอบทำ	/mâj tɕʰɔ̂ːp tʰam/
ไม่ชอบปิด	/mâj tɕʰɔ̂ːp pìt/
ไม่ชอบเปิด	/mâj tɕʰɔ̂ːp pɤ̀ːt/
ไม่ชอบไป	/mâj tɕʰɔ̂ːp paj/
ไม่ชอบพูด	/mâj tɕʰɔ̂ːp pʰûːt/
ไม่ชอบมา	/mâj tɕʰɔ̂ːp maː/
ไม่ชอบมาพากล	/mâj tɕʰɔ̂ːp maː pʰaː kon/
ไม่ชอบมาพากล	/mâj tɕʰɔ̂ːp maː pʰaː kon/
ไม่ชอบมี	/mâj tɕʰɔ̂ːp miː/
ไม่ชอบยิ้ม	/mâj tɕʰɔ̂ːp jím/
ไม่ชอบรัก	/mâj tɕʰɔ̂ːp rák/
ไม่ชอบเล่น	/mâj tɕʰɔ̂ːp lên/
ไม่ชอบว่า	/mâj tɕʰɔ̂ːp wâː/
ไม่ชอบวิ่ง	/mâj tɕʰɔ̂ːp wîŋ/
สองอาทิตย์	/sɔ̌ːŋ ʔaː tʰít/
สองอารมณ์	/sɔ̌ːŋ ʔaː rom/
ส่อง	/sɔ̀ːŋ/
ส่องกระจก	/sɔ̀ːŋ kràʔ tɕòk/
ส่องกล้อง	/sɔ̀ːŋ klɔ̂ːŋ/
ส่องดูนก	/sɔ̀ːŋ duː nók/
ส่องประกาย	/sɔ̀ːŋ pràʔ kaːj/
ส่องประกายสดใส	/sɔ̀ːŋ pràʔ kaːj sòt sǎj/
ส่องไฟ	/sɔ̀ːŋ faj/
ส่องแวว	/sɔ̀ːŋ wɛːw/
ส่องสว่าง	/sɔ̀ːŋ sà wàːŋ/
ส่องแสง	/sɔ̀ːŋ sɛ̌ːŋ/
สอดเข้าไป	/sɔ̀ːt kʰâw paj/
สอดคล้อง	/sɔ̀ːt kʰlɔ́ːŋ/
สอดแทรก	/sɔ̀ːt sɛ̂ːk/
สอดแนม	/sɔ̀ːt nɛːm/
สอดแนมข้อมูล	/sɔ̀ːt nɛːm kʰɔ̂ː muːn/
สอดประสาน	/sɔ̀ːt pràʔ sǎːn/
สอดรับ	/sɔ̀ːt ráp/
สอดรู้	/sɔ̀ːt rúː/
สอดรู้สอดเห็น	/sɔ̀ːt rúː sɔ̀ːt hěn/
สอดส่อง	/sɔ̀ːt sɔ̀ːŋ/
สอดเสือก	/sɔ̀ːt sɯ̀ːak/
สอดใส่	/sɔ̀ːt sàj/
สอดไส้	/sɔ̀ːt sâj/
สอดไส้	/sɔ̀ːt sâj/
สอน	/sɔ̌ːn/
สอนจระเข้ให้ว่ายน้ำ	/sɔ̌ːn tɕɔː ráʔ kʰêː hâj wâːj náːm/
สอนตัวเอง	/sɔ̌ːn tuːa ʔeːŋ/
สอนสั่ง	/sɔ̌ːn sàŋ/
สอนหนังสือ	/sɔ̌ːn nǎŋ sɯ̌ː/
สอนหนังสือสังฆราช	/sɔ̌ːn nǎŋ sɯ̌ː sǎŋ kʰá râːt/
สอบ	/sɔ̀ːp/
สอบกลางภาค	/sɔ̀ːp klaːŋ pʰâːk/
สอบข้อเขียน	/sɔ̀ːp kʰɔ̂ː kʰǐːan/
สอบเข้า	/sɔ̀ːp kʰâw/
สอบแข่งขัน	/sɔ̀ːp kʰɛ̀ŋ kʰǎn/
สอบค้น	/sɔ̀ːp kʰón/
สอบได้	/sɔ̀ːp dâj/
สอบตก	/sɔ̀ːp tòk/
การละเล่น	/kaːn láʔ lên/
การละเล่นไทยในสมัยก่อน	/kaːn láʔ lên tʰaj naj sà mǎj kɔ̀ːn/
การลัดวงจร	/kaːn lát woŋ tɕɔːn/
การลาคลอด	/kaːn laː kʰlɔ̂ːt/
การลาหยุดพัก	/kaːn laː jùt pʰák/
การลาออก	/kaːn laː ʔɔ̀ːk/
การล่า	/kaːn lâː/
การล่าอาณานิคมครั้งใหม่	/kaːn lâː ʔaː naː níʔ kʰom kʰráŋ màj/
การลาก	/kaːn lâːk/
การลาดตระเวน	/kaːn lâːt tràʔ weːn/
การลึกกร่อน	/kaːn lɯ́k krɔ̀ːn/
การลุกขึ้น	/kaːn lúk kʰɯ̂n/
การเล่น	/kaːn lên/
การเล่นกระดานโต้ลม	/kaːn lên kràʔ daːn tôː lom/
การเล่นกล	/kaːn lên kon/
การเล่นแคร่เลื่อนหิมะ	/kaːn lên kʰrɛ̂ː lɯ̂ːan hìʔ máʔ/
การเล่นโรลเลอร์สเกต	/kaːn lên roːn lɤː sà kèːt/
การเล่นว่าว	/kaːn lên wâːw/
การเล่นวินด์เซิร์ฟ	/kaːn lên win sɤ̂ːf/
การเล่นวินด์เซิร์ฟ	/kaːn lên win sɤ̂ːf/
การเล่นสกปรก	/kaːn lên sòk kà pròk/
การเล่นสกีน้ำ	/kaːn lên sà kiː náːm/
การเล่นสกีผ่านป่าเขา	/kaːn lên sà kiː pʰàːn pàː kʰǎw/
การเล่นสกีลงเนิน	/kaːn lên sà kiː loŋ nɤːn/
การเล่นสเกตน้ำแข็ง 	/kaːn lên sàʔ két nám kʰɛ̌ŋ/
การเลิกทาส	/kaːn lɤ̂ːk tʰâːt/
การเลี้ยง	/kaːn líːaŋ/
การเลี้ยว	/kaːn líːaw/
การเลือก	/kaːn lɯ̂ːak/
การเลือกตั้ง	/kaːn lɯ̂ːak tâŋ/
การเลือกตั้งแบบบัญชีรายชื่อ	/kaːn lɯ̂ːak tâŋ bɛ̀ːp ban tɕʰiː raːj tɕʰɯ̂ː/
การเลือกปฏิบัติ	/kaːn lɯ̂ːak pà tìʔ bàt/
การเลื่อน	/kaːn lɯ̂ːan/
การแลกเปลี่ยนทรัพยากร	/kaːn lɛ̂ːk plìːan sáp pʰá jaː kɔːn/
การแล่นรถยนต์หิมะ	/kaːn lɛ̂ːn rót jon hìʔ máʔ/
การแล่นเรือใบ	/kaːn lɛ̂ːn rɯːa baj/
การวัด	/kaːn wát/
การวัดความถนัดในวิชาชีพ	/kaːn wát kʰwaːm tʰà nàt naj wíʔ tɕʰaː tɕʰîːp/
การวัดแสงแบบเฉพาะจุด	/kaːn wát sɛ̌ːŋ bɛ̀ːp tɕʰà pʰɔ́ʔ tɕùt/
การว่าจ้าง	/kaːn wâː tɕâːŋ/
การวาง	/kaːn waːŋ/
การวางผังเมือง	/kaːn waːŋ pʰǎŋ mɯːaŋ/
คุดคุ้ย	/kʰút kʰúj/
คุดคู้	/kʰút kʰúː/
คุดทะราด	/kʰút tʰáʔ râːt/
คุ้น	/kʰún/
คุ้นเคย	/kʰún kʰɤːj/
คุ้นชิน	/kʰún tɕʰin/
คุ้นหน้า	/kʰún nâː/
คุ้นหน้าคุ้นตา	/kʰún nâː kʰún taː/
คุ้นหู	/kʰún hǔː/
คุ้นหูคุ้นตา	/kʰún hǔː kʰún taː/
คุมกำเนิด	/kʰum kam nɤ̀ːt/
คุมขัง	/kʰum kʰǎŋ/
คุมแค้น	/kʰum kʰɛ́ːn/
คุมแจ	/kʰum tɕɛː/
คุมเชิง	/kʰum tɕʰɤːŋ/
คุมเชิง	/kʰum tɕʰɤːŋ/
คุมตัว	/kʰum tuːa/
คุมไม่อยู่	/kʰum mâj jùː/
คุมสอบ	/kʰum sɔ̀ːp/
คุ่ม	/kʰûm/
คุ้ม	/kʰúm/
คุ้มกัน	/kʰúm kan/
คุ้มครอง	/kʰúm kʰrɔːŋ/
คุ้มค่า	/kʰúm kʰâː/
คุ้มทุน	/kʰúm tʰun/
คุ้มภัย	/kʰúm pʰaj/
คุ้มหลวงลำพูน	/kʰúm lǔːaŋ lam pʰuːn/
คุย	/kʰuj/
คุยกัน	/kʰuj kan/
คุยกันไปคุยกันมา	/kʰuj kan paj kʰuj kan maː/
คุยกันไม่รู้เรื่อง	/kʰuj kan mâj rúː rɯ̂ːaŋ/
คุยกันรู้เรื่อง	/kʰuj kan rúː rɯ̂ːaŋ/
คุยกับ	/kʰuj kàp/
คุยโต	/kʰuj toː/
คุยโตโอ้อวด	/kʰuj toː ʔôː ʔùːat/
คุยโทรศัพท์	/kʰuj tʰoː rá sàp/
คุยโม้	/kʰuj móː/
คุยโว	/kʰuj woː/
คุ้ย	/kʰúj/
คุ้ยเขี่ย	/kʰúj kʰìːa/
คู	/kʰuː/
คูคลอง	/kʰuː kʰlɔːŋ/
คูน้ำ 	/kʰuː náːm/
อันอื่น	/ʔan ʔɯ̀ːn/
อั้น	/ʔân/
อั๋น	/ʔǎn/
อันดอร์รา	/ʔan dɔː raː/
อันดอร์รา ลา เวลลา	/ʔan dɔː raː laː weːn laː/
อันดับ	/ʔan dàp/
อันดับแรก	/ʔan dàp rɛ̂ːk/
อันดับโลก	/ʔan dàp lôːk/
อันดามัน	/ʔan daː man/
อันเดร	/ʔan dreː/
อันต	/ʔan tà/
อันตรธาน	/ʔan tà rá tʰaːn/
อันตรธานไปได้อย่างไร้ร่องรอย	/ʔan tà rá tʰaːn paj dâj jàːŋ ráj rɔ̂ːŋ rɔːj/
อันตรภาค	/ʔan tà rá pʰâːk/
อันตราย	/ʔan tà raːj/
อั้นตั้น	/ʔân tân/
อันโตน	/ʔan toːn/
อันทุ	/ʔan tʰúʔ/
อันธการ	/ʔan tʰá kaːn/
อันธพาล	/ʔan tʰá pʰaːn/
อันธพาลกวนเมือง	/ʔan tʰá pʰaːn kuːan mɯːaŋ/
อันเฟรนด์	/ʔan freːn/
อับ	/ʔàp/
อับชื้น	/ʔàp tɕʰɯ́ːn/
อับโชค	/ʔàp tɕʰôːk/
อับจน	/ʔàp tɕon/
อับเฉา	/ʔàp tɕʰǎw/
อับชื้น	/ʔàp tɕʰɯ́ːn/
อับดุล	/ʔàp dun/
อับปาง	/ʔàp paːŋ/
อับราม	/ʔàp raːm/
อับราฮัม	/ʔàp raː ham/
อับราฮัม ลินคอล์น	/ʔàp raː ham lin kʰɔːn/
อับอาย	/ʔàp ʔaːj/
อับอายขายหน้า	/ʔàp ʔaːj kʰǎːj nâː/
อับอายขายหน้า	/ʔàp ʔaːj kʰǎːj nâː/
อัป	/ʔàp pàʔ/
อัปยศ	/ʔàp pàʔ jót/
อัปยศ	/ʔàp pàʔ jót/
อัปยศอดสู	/ʔàp pàʔ jót ʔòt sǔː/
อัปลักษณ์	/ʔàp pàʔ lák/
อัปรีย์	/ʔàp priː/
อัปสรา	/ʔàp sà raː/
อัพ	/ʔàp/
อัพเดต	/ʔàp dèːt/
อัพเดท	/ʔàp dèːt/
หอศิลป์	/hɔ̌ː sǐn/
หอสมุด	/hɔ̌ː sà mùt/
หอสมุดแห่งชาติ	/hɔ̌ː sà mùt hɛ̀ŋ tɕʰâːt/
หอสังเกตการณ์	/hɔ̌ː sǎŋ kèːt kaːn/
หอไอเฟล	/hɔ̌ː ʔaj feːn/
ห่อ	/hɔ̀ː/
ห่อของ	/hɔ̀ː kʰɔ̌ːŋ/
ห่อพัสดุ	/hɔ̀ː pʰát sà dùʔ/
ห่อหมก	/hɔ̀ː mòk/
ห่อหมกไก่	/hɔ̀ː mòk kàj/
ห่อหมกปลา	/hɔ̀ː mòk plaː/
ห่อหุ้ม	/hɔ̀ː hûm/
ห่อเหี่ยวใจ	/hɔ̀ː hìːaw tɕaj/
ห่อไหล่	/hɔ̀ː làj/
ห้อ	/hɔ̂ː/
ห้อม้า	/hɔ̂ː máː/
ห้อเลือด	/hɔ̂ː lɯ̂ːat/
หอก	/hɔ̀ːk/
หอกข้างแคร่	/hɔ̀ːk kʰâːŋ kʰrɛ̂ː/
ห้อง	/hɔ̂ːŋ/
ห้องเก็บของ	/hɔ̂ːŋ kèp kʰɔ̌ːŋ/
ห้องขัง	/hɔ̂ːŋ kʰǎŋ/
ห้องขายตั๋ว	/hɔ̂ːŋ kʰǎːj tǔːa/
ห้องครัว	/hɔ̂ːŋ kʰruːa/
ห้องคัดแยกจดหมาย	/hɔ̂ːŋ kʰát jɛ̂ːk tɕòt mǎːj/
ห้องคู่	/hɔ̂ːŋ kʰûː/
ห้องชุด	/hɔ̂ːŋ tɕʰút/
ห้องเช่า	/hɔ̂ːŋ tɕʰâw/
ห้องซักเสื้อผ้า	/hɔ̂ːŋ sák sɯ̂ːa pʰâː/
ห้องดับจิต	/hɔ̂ːŋ dàp tɕìt/
ห้องเดี่ยว	/hɔ̂ːŋ dìːaw/
ห้องโดยสาร	/hɔ̂ːŋ doːj sǎːn/
ห้องติดกัน	/hɔ̂ːŋ tìt kan/
ห้องเตียงคู่	/hɔ̂ːŋ tiːaŋ kʰûː/
ห้องเตียงเดี่ยว	/hɔ̂ːŋ tiːaŋ dìːaw/
ห้องใต้ดิน	/hɔ̂ːŋ tâj din/
ห้องใต้หลังคา	/hɔ̂ːŋ tâj lǎŋ kʰaː/
ห้องแถว	/hɔ̂ːŋ tʰɛ̌ːw/
ห้องโถง	/hɔ̂ːŋ tʰǒːŋ/
ห้องโถงกลางสำหรับรับแขก	/hɔ̂ːŋ tʰǒːŋ klaːŋ sǎm ràp ráp kʰɛ̀ːk/
ห้องทดลอง 	/hɔ̂ːŋ tʰót lɔːŋ/
ห้องทำงาน	/hɔ̂ːŋ tʰam ŋaːn/
ห้องนอน	/hɔ̂ːŋ nɔːn/
ห้องนักบิน	/hɔ̂ːŋ nák bin/
ห้องนั่งเล่น	/hɔ̂ːŋ nâŋ lên/
ห้องนำร่อง	/hɔ̂ːŋ nam rɔ̂ːŋ/
ห้องน้ำ	/hɔ̂ːŋ náːm/
เรือจ้าง	/rɯːa tɕâːŋ/
เรือจูง	/rɯːa tɕuːŋ/
เรือแจว	/rɯːa tɕɛːw/
เรือฉลอม	/rɯːa tɕʰà lɔ̌ːm/
เรือชล่า	/rɯːa tɕʰá lâː/
เรือชูชีพ	/rɯːa tɕʰuː tɕʰîːp/
เรือดับเพลิง 	/rɯːa dàp pʰlɤːŋ/
เรือดำน้ำ 	/rɯːa dam náːm/
เรือเดินทะเล	/rɯːa dɤːn tʰáʔ leː/
เรือเดินสมุทร	/rɯːa dɤːn sà mùt/
เรือโดยสาร	/rɯːa doːj sǎːn/
เรือโดยสารเดินทะเล 	/rɯːa doːj sǎːn dɤːn tʰáʔ leː/
เรือตรวจการณ์ไกลฝั่ง	/rɯːa trùːat kaːn klaj fàŋ/
เรือตรี	/rɯːa triː/
เรือต่อ	/rɯːa tɔ̀ː/
เรือท่องเที่ยว	/rɯːa tʰɔ̂ːŋ tʰîːaw/
เรือที่นั่ง	/rɯːa tʰîː nâŋ/
เรือแท็กซี่	/rɯːa tʰɛ́k sîː/
เรือโท	/rɯːa tʰoː/
เรือธง	/rɯːa tʰoŋ/
เรือบด	/rɯːa bòt/
เรือบรรทุกเครื่องบิน	/rɯːa ban tʰúk kʰrɯ̂ːaŋ bin/
เรือบรรทุกน้ำมัน	/rɯːa ban tʰúk nám man/
เรือบิน	/rɯːa bin/
เรือใบ 	/rɯːa baj/
เรือใบสีฟ้า	/rɯːa baj sǐː fáː/
เรือประมง	/rɯːa pràʔ moŋ/
เรือเป็ด	/rɯːa pèt/
เรือเป็ดประทุน	/rɯːa pèt pràʔ tʰun/
เรือพยุหยาตราทางชลมารค 	/rɯːa pʰá júʔ hà jâːt raː tʰaːŋ tɕʰon mâːk/
เรือพระที่นั่งสุพรรณหงส์ 	/rɯːa pʰráʔ tʰîː nâŋ sùʔ pʰan náʔ hǒŋ/
เรือพ่วง	/rɯːa pʰûːaŋ/
เรือพ่วง	/rɯːa pʰûːaŋ/
เรือพาย	/rɯːa pʰaːj/
เรือพิฆาต	/rɯːa pʰíʔ kʰâːt/
เรือมอ	/rɯːa mɔː/
เรือแม่ปะ	/rɯːa mɛ̂ː pàʔ/
เรือไม้	/rɯːa máːj/
เรือยนต์	/rɯːa jon/
เรือยอชต์	/rɯːa jɔ̂ːt/
เรือรบ	/rɯːa róp/
เรือรบหลวง	/rɯːa róp lǔːaŋ/
เรือลากจูง	/rɯːa lâːk tɕuːŋ/
เรือลาดตระเวน	/rɯːa lâːt tràʔ weːn/
เรือลำเลียง	/rɯːa lam liːaŋ/
ไม่ชอบให้	/mâj tɕʰɔ̂ːp hâj/
ไม่ชอบอ่าน	/mâj tɕʰɔ̂ːp ʔàːn/
ไม่ชอบธรรม	/mâj tɕʰɔ̂ːp tʰam/
ไม่ชัด	/mâj tɕʰát/
ไม่ชัด	/mâj tɕʰát/
ไม่ช้า	/mâj tɕʰáː/
ไม่ช้าก็เร็ว	/mâj tɕʰáː kɔ̂ː rew/
ไม่ช้านี้	/mâj tɕʰáː níː/
ไม่ช้าไม่นาน	/mâj tɕʰáː mâj naːn/
ไม่เช่นนั้น	/mâj tɕʰên nán/
ไม่เชิง	/mâj tɕʰɤːŋ/
ไม่เชื่อ	/mâj tɕʰɯ̂ːa/
ไม่เชื่อฟัง	/mâj tɕʰɯ̂ːa faŋ/
ไม่ใช่	/mâj tɕʰâj/
ไม่ใช่แค่นั้น	/mâj tɕʰâj kʰɛ̂ː nán/
ไม่ใช่ทั้งสอง	/mâj tɕʰâj tʰáŋ sɔ̌ːŋ/
ไม่ใช่พันธุ์แท้	/mâj tɕʰâj pʰan tʰɛ́ː/
ไม่ใช่แมลง	/mâj tɕʰâj má lɛːŋ/
ไม่ใช่ย่อย	/mâj tɕʰâj jɔ̂ːj/
ไม่ใช่ว่า	/mâj tɕʰâj wâː/
ไม่ซื่อ	/mâj sɯ̂ː/
ไม่ซื่อตรง	/mâj sɯ̂ː troŋ/
ไม่ดี	/mâj diː/
ไม่ดีเท่าที่คิดไว้	/mâj diː tʰâw tʰîː kʰít wáj/
ไม่ดีนัก	/mâj diː nák/
ไม่ดึงดูดใจ	/mâj dɯŋ dùːt tɕaj/
ไม่ดื่ม	/mâj dɯ̀ːm/
ไม่ดูตาม้าตาเรือ	/mâj duː taː máː taː rɯːa/
สอบถาม	/sɔ̀ːp tʰǎːm/
สอบเทียบ	/sɔ̀ːp tʰîːap/
สอบปลายภาค	/sɔ̀ːp plaːj pʰâːk/
สอบผ่าน	/sɔ̀ːp pʰàːn/
สอบไม่ติด	/sɔ̀ːp mâj tìt/
สอบไม่ผ่าน	/sɔ̀ːp mâj pʰàːn/
สอบไล่	/sɔ̀ːp lâj/
สอบไล่	/sɔ̀ːp lâj/
สอบอัตนัย	/sɔ̀ːp ʔàt tà naj/
สอบเอนทรานซ์	/sɔ̀ːp ʔeːn tʰraːn/
สอบสวน	/sɔ̀ːp sǔːan/
สอบสวนสืบสวน	/sɔ̀ːp sǔːan sɯ̀ːp sǔːan/
ส้อม	/sɔ̂ːm/
ส้อมจิ้มผักสด	/sɔ̂ːm tɕîm pʰàk sòt/
ส้อมช้อน	/sɔ̂ːm tɕʰɔ́ːn/
ส้อมรับประทานอาหาร	/sɔ̂ːm ráp pràʔ tʰaːn ʔaː hǎːn/
ส้อมเสียบ 	/sɔ̂ːm sìːap/
สอย	/sɔ̌ːj/
สอศ.	/sɔ̌ː ʔɔː sɔ̌ː/
สอเสือใส่เกือก	/sɔ̌ː sɯ̌ːa sàj kɯ̀ːak/
สอใส่เกือก	/sɔ̌ː sàj kɯ̀ːak/
สะ	/sàʔ/
สะใจ	/sàʔ tɕaj/
สะกด	/sàʔ kòt/
สะกดจิต	/sàʔ kòt tɕìt/
สะกดตัว	/sàʔ kòt tuːa/
สะกดผิด	/sàʔ kòt pʰìt/
สะกดรอย	/sàʔ kòt rɔːj/
สะกิด	/sàʔ kìt/
สะกิดนิดสะกิดหน่อย	/sàʔ kìt nít sàʔ kìt nɔ̀ːj/
สะเก็ด	/sàʔ kèt/
สะเก็ดดาว	/sàʔ kèt daːw/
สะเก็ดไฟ	/sàʔ kèt faj/
สะเก็ดไม้	/sàʔ kèt máːj/
สะเก็ดระเบิด	/sàʔ kèt ráʔ bɤ̀ːt/
สะคราญ	/sàʔ kʰraːn/
สะดวก	/sàʔ dùːak/
สะดวกขึ้น	/sàʔ dùːak kʰɯ̂n/
สะดวกใจ	/sàʔ dùːak tɕaj/
สะดวกโยธิน	/sàʔ dùːak joː tʰin/
สะดวกสบาย	/sàʔ dùːak sà baːj/
สะดึง	/sàʔ dɯŋ/
สะดือ	/sàʔ dɯː/
สะดุ้ง	/sàʔ dûŋ/
สะดุ้งตกใจ	/sàʔ dûŋ tòk tɕaj/
สะดุ้งตื่น	/sàʔ dûŋ tɯ̀ːn/
สะดุ้งผวา	/sàʔ dûŋ pʰà wǎː/
การวางแผนทรัพยากรองค์กร	/kaːn waːŋ pʰɛ̌ːn sáp pʰá jaː kɔːn ʔoŋ kɔːn/
การวางมาตรการ	/kaːn waːŋ mâːt tràʔ kaːn/
การว่างงาน	/kaːn wâːŋ ŋaːn/
การว่ายน้ำ	/kaːn wâːj náːm/
การวิเคราะห์ระบบและการออกแบบ	/kaːn wíʔ kʰrɔ́ʔ ráʔ bòp lɛ́ʔ kaːn ʔɔ̀ːk bɛ̀ːp/
การวิ่ง	/kaːn wîŋ/
การวิ่งแข่ง	/kaːn wîŋ kʰɛ̀ŋ/
การวิ่งอย่างอลหม่าน	/kaːn wîŋ jàːŋ ʔon lá màːn/
การวิ่งออกกำลังกาย	/kaːn wîŋ ʔɔ̀ːk kam laŋ kaːj/
การวิจัย	/kaːn wíʔ tɕaj/
การวิจัยและพัฒนา	/kaːn wíʔ tɕaj lɛ́ʔ pʰát tʰá naː/
การวิทยาศาสตร์	/kaːn wít tʰá jaː sàːt/
การวินิจฉัย	/kaːn wíʔ nít tɕʰǎj/
