𠻺	/a:˨/
頵	/kwɐŋ˥/, /wɐn˥/
頷	/hɐm˩˧/
頸	/kɛ:ŋ˧˥/
頸巾	/kɛ:ŋ˧˥ kɐn˥/
頸椎	/kɛ:ŋ˧˥ tsœ:k˧/
頸渴	/kɛ:ŋ˧˥ hɔ:t˧/
頸鍊	/kɛ:ŋ˧˥ li:n˧˥/
頸鏈	/kɛ:ŋ˧˥ li:n˧˥/
頹	/tʰɵy˨˩/
頹喪	/tʰɵy˨˩ sɔ:ŋ˧/
頹廢	/tʰɵy˨˩ fɐi˧/
頹敗	/tʰɵy˨˩ pa:i˨/
頹然	/tʰɵy˨˩ ji:n˨˩/
頹然喪氣	/tʰɵy˨˩ ji:n˨˩ sɔ:ŋ˧ hei˧/
頹靡	/tʰɵy˨˩ mei˨˩/
頻	/pʰɐn˨˩/
頻傳	/pʰɐn˨˩ tsʰy:n˨˩/
頻密	/pʰɐn˨˩ mɐt˨/
頻撲	/pʰɐn˨˩ pʰɔ:k˧/
頻率	/pʰɐn˨˩ lɵt˨/
頻繁	/pʰɐn˨˩ fa:n˨˩/
頻道	/pʰɐn˨˩ tou˨/
頻頻	/pʰɐn˨˩ pʰɐn˨˩/
頻頻撲撲	/pʰɐn˨˩ pʰɐn˨˩ pʰɔ:k˧ pʰɔ:k˧/
頼	/la:i˨/
顁	/tɪŋ˧/
顄	/hɐm˩˧/
顆	/fɔ:˧˥/
顆粒	/fɔ:˧˥ nɐp˥/
顆粒狀	/fɔ:˧˥ nɐp˥ tsɔ:ŋ˨/
顈	/kwɪŋ˧˥/, /kʰɪŋ˧˥/
顉	/hɐm˨/, /jɐm˥/
顋	/sɔ:i˥/
題	/tʰɐi˨˩/
題目	/tʰɐi˨˩ mʊk˨/
額	/ŋa:k˨/
額外	/ŋa:k˨ ŋɔ:i˨/, /a:k˨ ɔ:i˨/
額頭	/ŋa:k˨ tʰɐu˨˩/, /a:k˨ tʰɐu˨˩/
顎	/ŋɔ:k˨/
顎骨	/ŋɔ:k˨ kwɐt˥/, /ɔ:k˨ kwɐt˥/
顏	/ŋa:n˨˩/
顏色	/ŋa:n˨˩ sɪk˥/, /a:n˨˩ sɪk˥/
顏面	/ŋa:n˨˩ mi:n˨/, /a:n˨˩ mi:n˨/
顐	/wɐn˨/
顑	/hɐm˧˥/
顒	/jʊŋ˨˩/
顓	/tsy:n˥/
顓頊	/tsy:n˥ jʊk˥/
顕	/hi:n˧˥/
顗	/ŋɐi˩˧/
願	/jy:n˨/
願意	/jy:n˨ ji:˧/
願望	/jy:n˨ mɔ:ŋ˨/
顙	/sɔ:ŋ˧˥/
顚	/ti:n˥/
顛	/ti:n˥/
顛倒	/ti:n˥ tou˧˥/
顜	/kɔ:ŋ˧˥/
類	/lɵy˨/
類似	/lɵy˨ tsʰi:˩˧/
類別	/lɵy˨ pi:t˨/
顠	/pʰi:u˩˧/
顢	/mu:n˥/, /mu:n˨˩/
顣	/tsʰʊk˥/
顥	/hou˨/
顦	/tsʰi:u˨˩/
顧	/ku:˧/
顧主	/ku:˧ tsy:˧˥/
顧住	/ku:˧ tsy:˨/
顧全	/ku:˧ tsʰy:n˨˩/
顧全大局	/ku:˧ tsʰy:n˨˩ ta:i˨ kʊk˨/
顧及	/ku:˧ kʰɐp˨/
顧名思義	/ku:˧ mɪŋ˨˩ si:˥ ji:˨/
顧員	/ku:˧ jy:n˨˩/
顧問	/ku:˧ mɐn˨/
顧問公司	/ku:˧ mɐn˨ kʊŋ˥ si:˥/
顧問團	/ku:˧ mɐn˨ tʰy:n˨˩/
顧客	/ku:˧ ha:k˧/
顧客群	/ku:˧ ha:k˧ kʰwɐn˨˩/
顧家	/ku:˧ ka:˥/
顧小失大	/ku:˧ si:u˧˥ sɐt˥ ta:i˨/
顧左右而言他	/ku:˧ tsɔ:˧˥ jɐu˨ ji:˨˩ ji:n˨˩ tʰa:˥/
顧忌	/ku:˧ kei˨/
顧慮	/ku:˧ lɵy˨/
顧此失彼	/ku:˧ tsʰi:˧˥ sɐt˥ pei˧˥/
顧盼	/ku:˧ pʰa:n˧/
顩	/ji:m˩˧/
顪	/fu:i˧/, /wɐi˨/
顫	/tsi:n˧/
顫動	/tsi:n˧ tʊŋ˨/
顫慄	/tsi:n˧ lɵt˨/
顫抖	/tsi:n˧ tɐu˧˥/
顫聲	/tsi:n˧ sɪŋ˥/
顯	/hi:n˧˥/
顯像	/hi:n˧˥ tsœ:ŋ˨/
顯出	/hi:n˧˥ tsʰɵt˥/
顯學	/hi:n˧˥ hɔ:k˨/
顯影	/hi:n˧˥ jɪŋ˧˥/
顯影劑	/hi:n˧˥ jɪŋ˧˥ tsɐi˥/
顯影液	/hi:n˧˥ jɪŋ˧˥ jɪk˨/
顯影紙	/hi:n˧˥ jɪŋ˧˥ tsi:˧˥/
顯得	/hi:n˧˥ tɐk˥/
顯微鏡	/hi:n˧˥ mei˨˩ kɛ:ŋ˧/
顯明	/hi:n˧˥ mɪŋ˨˩/
顯然	/hi:n˧˥ ji:n˨˩/
顯示	/hi:n˧˥ si:˨/
顯而易見	/hi:n˧˥ ji:˨˩ ji:˨ ki:n˧/
顯赫	/hi:n˧˥ ha:k˥/
顰	/pʰɐn˨˩/
顰眉	/pʰɐn˨˩ mei˨˩/
顱	/lou˨˩/
顱頂骨	/lou˨˩ tɪŋ˧˥ kwɐt˥/
顱骨	/lou˨˩ kwɐt˥/
顳	/ni:p˨/
顳葉	/ni:p˨ ji:p˨/, /li:p˨ ji:p˨/
顳骨	/ni:p˨ kwɐt˥/, /li:p˨ kwɐt˥/
顴	/kʰy:n˨˩/
顴骨	/kʰy:n˨˩ kwɐt˥/
颀	/kʰei˨˩/
颃	/hɔ:ŋ˨˩/
颋	/tʰɪŋ˩˧/
颎	/wɪŋ˨/
颙	/jʊŋ˨˩/
颡	/sɔ:ŋ˧˥/
颢	/hou˨/
風	/fʊŋ˥/, /fʊŋ˧/
風中	/fʊŋ˥ tsʊŋ˥/
風中殘燭	/fʊŋ˥ tsʊŋ˥ tsʰa:n˨˩ tsʊk˥/
風乾	/fʊŋ˥ kɔ:n˥/
風乾機	/fʊŋ˥ kɔ:n˥ kei˥/
風俗	/fʊŋ˥ tsʊk˨/
風俗習慣	/fʊŋ˥ tsʊk˨ tsa:p˨ kwa:n˧/
風信	/fʊŋ˥ sɵn˧/
風信子	/fʊŋ˥ sɵn˧ tsi:˧˥/
風信鴿	/fʊŋ˥ sɵn˧ kɐp˧/
風光	/fʊŋ˥ kwɔ:ŋ˥/
風光十足	/fʊŋ˥ kwɔ:ŋ˥ sɐp˨ tsʊk˥/
風光明媚	/fʊŋ˥ kwɔ:ŋ˥ mɪŋ˨˩ mei˨/
風力	/fʊŋ˥ lɪk˨/
風力機	/fʊŋ˥ lɪk˨ kei˥/
風化	/fʊŋ˥ fa:˧/
風化案	/fʊŋ˥ fa:˧ ɔ:n˧/, /fʊŋ˥ fa:˧ ŋɔ:n˧/
風向	/fʊŋ˥ hœ:ŋ˧/
風向器	/fʊŋ˥ hœ:ŋ˧ hei˧/
風向標	/fʊŋ˥ hœ:ŋ˧ pi:u˥/
風向針	/fʊŋ˥ hœ:ŋ˧ tsɐm˥/
風吹	/fʊŋ˥ tsʰɵy˥/
風吹兩面倒	/fʊŋ˥ tsʰɵy˥ lœ:ŋ˩˧ mi:n˨ tou˧˥/
風吹草動	/fʊŋ˥ tsʰɵy˥ tsʰou˧˥ tʊŋ˨/
風吹雨打	/fʊŋ˥ tsʰɵy˥ jy:˩˧ ta:˧˥/
風味	/fʊŋ˥ mei˨/
風土	/fʊŋ˥ tʰou˧˥/
風塵	/fʊŋ˥ tsʰɐn˨˩/
風塵中人	/fʊŋ˥ tsʰɐn˨˩ tsʊŋ˥ jɐn˨˩/
風塵僕僕	/fʊŋ˥ tsʰɐn˨˩ pʊk˨ pʊk˨/
風季	/fʊŋ˥ kwɐi˧/
風尚	/fʊŋ˥ sœ:ŋ˨/
風帽	/fʊŋ˥ mou˨/
風平浪靜	/fʊŋ˥ pʰɪŋ˨˩ lɔ:ŋ˨ tsɪŋ˨/
風度	/fʊŋ˥ tou˨/
風度翩翩	/fʊŋ˥ tou˨ pʰi:n˥ pʰi:n˥/
風情萬種	/fʊŋ˥ tsʰɪŋ˨˩ ma:n˨ tsʊŋ˧˥/
風扇	/fʊŋ˥ si:n˧/
風景	/fʊŋ˥ kɪŋ˧˥/
風景區	/fʊŋ˥ kɪŋ˧˥ kʰɵy˥/
風暴	/fʊŋ˥ pou˨/
風月	/fʊŋ˥ jy:t˨/
風栗	/fʊŋ˥ lɵt˨/
風格	/fʊŋ˥ ka:k˧/
風槍	/fʊŋ˥ tsʰœ:ŋ˥/
風氣	/fʊŋ˥ hei˧/
風水	/fʊŋ˥ sɵy˧˥/
風水佬	/fʊŋ˥ sɵy˧˥ lou˧˥/
風水佬呃你十年八年	/fʊŋ˥ sɵy˧˥ lou˧˥ ŋa:k˥ nei˩˧ sɐp˨ ni:n˨˩ pa:t˧ ni:n˨˩/, /fʊŋ˥ sɵy˧˥ lou˧˥ a:k˥ lei˩˧ sɐp˨ li:n˨˩ pa:t˧ li:n˨˩/
風水先生	/fʊŋ˥ sɵy˧˥ si:n˥ sa:ŋ˥/
風水師	/fʊŋ˥ sɵy˧˥ si:˥/
風水生	/fʊŋ˥ sɵy˧˥ lou˧˥/
風水輪流轉	/fʊŋ˥ sɵy˧˥ lɵn˨˩ lɐu˨˩ tsy:n˧/
風波	/fʊŋ˥ pɔ:˥/
風流	/fʊŋ˥ lɐu˨˩/
風流人物	/fʊŋ˥ lɐu˨˩ jɐn˨˩ mɐt˨/
風流成性	/fʊŋ˥ lɐu˨˩ sɪŋ˨˩ sɪŋ˧/
風流瀟灑	/fʊŋ˥ lɐu˨˩ si:u˥ sa:˧˥/
風流韻事	/fʊŋ˥ lɐu˨˩ wɐn˨ si:˨/
風浪	/fʊŋ˥ lɔ:ŋ˨/
風涼	/fʊŋ˥ lœ:ŋ˨˩/
風涼話	/fʊŋ˥ lœ:ŋ˨˩ wa:˧˥/
風溼	/fʊŋ˥ sɐp˥/
風濕	/fʊŋ˥ sɐp˥/
風火	/fʊŋ˥ fɔ:˧˥/
風災	/fʊŋ˥ tsɔ:i˥/
風燈	/fʊŋ˥ tɐŋ˥/
風燭殘年	/fʊŋ˥ tsʊk˥ tsʰa:n˨˩ ni:n˨˩/, /fʊŋ˥ tsʊk˥ tsʰa:n˨˩ li:n˨˩/
風爐	/fʊŋ˥ lou˨˩/
風琴	/fʊŋ˥ kʰɐm˨˩/
風生水起	/fʊŋ˥ sa:ŋ˥ sɵy˧˥ hei˧˥/
風疹	/fʊŋ˥ tsʰɐn˧˥/
風笛	/fʊŋ˥ tɛ:k˨/
風筒	/fʊŋ˥ tʰʊŋ˧˥/
風箏	/fʊŋ˥ tsɐŋ˥/
風範	/fʊŋ˥ fa:n˨/
風聲	/fʊŋ˥ sɛ:ŋ˥/
風腸	/fʊŋ˥ tsʰœ:ŋ˧˥/
風褸	/fʊŋ˥ lɐu˥/
風調雨順	/fʊŋ˥ tʰi:u˨˩ jy:˩˧ sɵn˨/
風赧	/fʊŋ˥ na:n˧/, /fʊŋ˥ la:n˧/
風趣	/fʊŋ˥ tsʰɵy˧/
風車	/fʊŋ˥ tsʰɛ:˥/
風速	/fʊŋ˥ tsʰʊk˥/
風鈴	/fʊŋ˥ lɪŋ˨˩/
風險	/fʊŋ˥ hi:m˧˥/
風雨交加	/fʊŋ˥ jy:˩˧ ka:u˥ ka:˥/
風雨如晦，雞鳴不已	/fʊŋ˥ jy:˩˧ jy:˨˩ fu:i˧ kɐi˥ mɪŋ˨˩ pɐt˥ ji:˩˧/
風雨如磐	/fʊŋ˥ jy:˩˧ jy:˨˩ pʰu:n˨˩/
風雨無阻	/fʊŋ˥ jy:˩˧ mou˨˩ tsɔ:˧˥/
風雨燈	/fʊŋ˥ jy:˩˧ tɐŋ˥/
風雨雷電	/fʊŋ˥ jy:˩˧ lɵy˨˩ ti:n˨/
風雲	/fʊŋ˥ wɐn˨˩/
風雲人物	/fʊŋ˥ wɐn˨˩ jɐn˨˩ mɐt˨/
風靡	/fʊŋ˥ mei˨˩/
風靡一時	/fʊŋ˥ mei˨˩ jɐt˥ si:˨˩/
風韻	/fʊŋ˥ wɐn˨/
風頭躉	/fʊŋ˥ tʰɐu˨˩ tɐn˧˥/
風風雨雨	/fʊŋ˥ fʊŋ˥ jy:˩˧ jy:˩˧/
風餐露宿	/fʊŋ˥ tsʰa:n˥ lou˨ sʊk˥/
風馬牛	/fʊŋ˥ ma:˩˧ ŋɐu˨˩/, /fʊŋ˥ ma:˩˧ ɐu˨˩/
風馬牛不相及	/fʊŋ˥ ma:˩˧ ŋɐu˨˩ pɐt˥ sœ:ŋ˥ kʰɐp˨/, /fʊŋ˥ ma:˩˧ ɐu˨˩ pɐt˥ sœ:ŋ˥ kʰɐp˨/
風馳電掣	/fʊŋ˥ tsʰi:˨˩ ti:n˨ tsɐi˧/
風騷	/fʊŋ˥ sou˥/
風骨	/fʊŋ˥ kwɐt˥/
颩	/pi:u˥/
颫	/fu:˨˩/
颬	/ha:˥/
颭	/tsi:m˧˥/
颮	/pi:u˥/, /pʰa:u˥/
颯	/sa:p˧/
颯颯聲	/sa:p˧ sa:p˧ sɛ:ŋ˥/
颱	/tʰɔ:i˨˩/
颱風	/tʰɔ:i˨˩ fʊŋ˥/
颲	/li:t˨/
颳	/kwa:t˧/
颳風	/kwa:t˧ fʊŋ˥/
颶	/kɵy˨/
颶風	/kɵy˨ fʊŋ˥/
颸	/si:˥/
颺	/jœ:ŋ˨˩/
颻	/ji:u˨˩/
颼	/sɐu˥/
颽	/hɔ:i˧˥/
颾	/sou˥/
颿	/fa:n˨˩/
飀	/lɐu˨˩/
飁	/tsa:p˨/
飂	/lɐu˨˩/, /li:u˨˩/
飄	/pʰi:u˥/
飄灑	/pʰi:u˥ sa:˧˥/
飄零	/pʰi:u˥ lɪŋ˨˩/
飆	/pi:u˥/
飆升	/pi:u˥ sɪŋ˥/
飆車	/pi:u˥ tsʰɛ:˥/
飆風	/pi:u˥ fʊŋ˥/
飇	/pi:u˥/
飉	/li:u˨˩/
飌	/fʊŋ˥/
飐	/tsi:m˧˥/
飑	/pʰa:u˥/
飔	/si:˥/
飗	/lɐu˨˩/
飛	/fei˥/
飛仔	/fei˥ tsɐi˧˥/
飛出	/fei˥ tsʰɵt˥/
飛刀	/fei˥ tou˥/
飛吻	/fei˥ mɐn˩˧/
飛咗	/fei˥ tsɔ:˧˥/
飛塵	/fei˥ tsʰɐn˨˩/
飛士	/fei˥ si:˧˥/
飛奔	/fei˥ pɐn˥/
飛尾	/fei˥ mei˩˧/
飛彈	/fei˥ ta:n˨/
飛彈潛艇	/fei˥ ta:n˨ tsʰi:m˨˩ tʰɪŋ˩˧/
飛彈頭	/fei˥ ta:n˨ tʰɐu˨˩/
飛揚	/fei˥ jœ:ŋ˨˩/
飛數	/fei˥ sou˨˩/
飛機	/fei˥ kei˥/
飛機仔	/fei˥ kei˥ tsɐi˧˥/
飛機場	/fei˥ kei˥ tsʰœ:ŋ˨˩/
飛機師	/fei˥ kei˥ si:˥/
飛機恤	/fei˥ kei˥ sɵt˥/
飛機票	/fei˥ kei˥ pʰi:u˧/
飛機銻	/fei˥ kei˥ tʰɐi˥/
飛毛腿	/fei˥ mou˨˩ tʰɵy˧˥/
飛水	/fei˥ sɵy˧˥/
飛沙走奶	/fei˥ sa:˥ tsɐu˧˥ na:i˩˧/, /fei˥ sa:˥ tsɐu˧˥ la:i˩˧/
飛滋	/fei˥ tsi:˥/
飛矢	/fei˥ tsʰi:˧˥/
飛石	/fei˥ sɛ:k˨/
飛碟	/fei˥ ti:p˨/
飛禽	/fei˥ kʰɐm˨˩/
飛禽走獸	/fei˥ kʰɐm˨˩ tsɐu˧˥ sɐu˧/
飛簷	/fei˥ ji:m˨˩/
飛簷走壁	/fei˥ ji:m˨˩ tsɐu˧˥ pɪk˥/
飛紅	/fei˥ hʊŋ˨˩/
飛翔	/fei˥ tsʰœ:ŋ˨˩/
飛翔船	/fei˥ tsʰœ:ŋ˨˩ sy:n˨˩/
飛翼	/fei˥ jɪk˨/
飛翼船	/fei˥ jɪk˨ sy:n˨˩/
飛舞	/fei˥ mou˩˧/
飛航	/fei˥ hɔ:ŋ˨˩/
飛艇	/fei˥ tʰɪŋ˩˧/
飛蛾	/fei˥ ŋɔ:˨˩/, /fei˥ ɔ:˨˩/
飛蛾撲火	/fei˥ ŋɔ:˨˩ pʰɔ:k˧ fɔ:˧˥/, /fei˥ ɔ:˨˩ pʰɔ:k˧ fɔ:˧˥/
飛螆	/fei˥ tsi:˥/
飛蟲	/fei˥ tsʰʊŋ˨˩/
飛蟻	/fei˥ ŋɐi˩˧/, /fei˥ ɐi˩˧/
飛行	/fei˥ hɐŋ˨˩/
飛行員	/fei˥ hɐŋ˨˩ jy:n˨˩/
飛賊	/fei˥ tsʰa:k˨/
飛走	/fei˥ tsɐu˧˥/
飛起	/fei˥ hei˧˥/
飛越	/fei˥ jy:t˨/
飛跑	/fei˥ pʰa:u˧˥/
飛躍	/fei˥ jœ:k˨/
飛躍道	/fei˥ jœ:k˨ tou˨/
飛車	/fei˥ tsʰɛ:˥/
飛車黨	/fei˥ tsʰɛ:˥ tɔ:ŋ˧˥/
飛逝	/fei˥ sɐi˨/
飛速	/fei˥ tsʰʊk˥/
飛過	/fei˥ kwɔ:˧/
飛邊	/fei˥ pi:n˥/
飛鏢	/fei˥ pi:u˥/
飛雁	/fei˥ ŋa:ŋ˨/, /fei˥ a:ŋ˨/
飛雪	/fei˥ sy:t˧/
飛馳	/fei˥ tsʰi:˨˩/
飛騰	/fei˥ tʰɐŋ˨˩/
飛髮	/fei˥ fa:t˧/
飛髮佬	/fei˥ fa:t˧ lou˧˥/
飛髮舖	/fei˥ fa:t˧ pʰou˧˥/
飛髮鋪	/fei˥ fa:t˧ pʰou˧˥/
飛魚	/fei˥ jy:˨˩/
飛鳥	/fei˥ ni:u˩˧/, /fei˥ li:u˩˧/
飛黃騰達	/fei˥ wɔ:ŋ˨˩ tʰɐŋ˨˩ ta:t˨/
飛鼠	/fei˥ sy:˧˥/
食	/ji:˨/, /sɪk˨/, /tsi:˨/
食	/sɪk˨/
食𢆡	/sɪk˨ ni:n˥/, /sɪk˨ li:n˥/
食七咁食	/sɪk˨ tsʰɐt˥ kɐm˧ sɪk˨/
食不充饑	/sɪk˨ pɐt˥ tsʰʊŋ˥ kei˥/
食不知味	/sɪk˨ pɐt˥ tsi:˥ mei˨/
食人	/sɪk˨ jɐn˨˩/
食人族	/sɪk˨ jɐn˨˩ tsʊk˨/
食人隻車	/sɪk˨ jɐn˨˩ tsɛ:k˧ kɵy˥/
食到嗒嗒聲	/sɪk˨ tou˧ ta:p˥ ta:p˥ sɛ:ŋ˥/
食前方丈	/sɪk˨ tsʰɪŋ˨˩ fɔ:ŋ˥ tsœ:ŋ˨/
食剩	/sɪk˨ tsɪŋ˨/
食口立溼	/sɪk˨ hɐu˧˥ lɐp˨ sɐp˥/
食口立濕	/sɪk˨ hɐu˧˥ lɐp˨ sɐp˥/
食古不化	/sɪk˨ ku:˧˥ pɐt˥ fa:˧/
食和	/sɪk˨ wu:˧˥/
食咗	/sɪk˨ tsɔ:˧˥/
食咗火藥	/sɪk˨ tsɔ:˧˥ fɔ:˧˥ jœ:k˨/
食品	/sɪk˨ pɐn˧˥/
食品商	/sɪk˨ pɐn˧˥ sœ:ŋ˥/
食品工業	/sɪk˨ pɐn˧˥ kʊŋ˥ ji:p˨/
食品店	/sɪk˨ pɐn˧˥ ti:m˧/
食品廠	/sɪk˨ pɐn˧˥ tsʰɔ:ŋ˧˥/
食品業	/sɪk˨ pɐn˧˥ ji:p˨/
食品業者	/sɪk˨ pɐn˧˥ ji:p˨ tsɛ:˧˥/
食品衛生	/sɪk˨ pɐn˧˥ wɐi˨ sɐŋ˥/
食品衞生	/sɪk˨ pɐn˧˥ wɐi˨ sɐŋ˥/
食唔切	/sɪk˨ m̩˨˩ tsʰi:t˧/
食唔安瞓唔落	/sɪk˨ m̩˨˩ ɔ:n˥ fɐn˧ m̩˨˩ lɔ:k˨/, /sɪk˨ m̩˨˩ ŋɔ:n˥ fɐn˧ m̩˨˩ lɔ:k˨/
食唔晒	/sɪk˨ m̩˨˩ sa:i˧/
食唔落	/sɪk˨ m̩˨˩ lɔ:k˨/
食唔飽	/sɪk˨ m̩˨˩ pa:u˧˥/
食嘢	/sɪk˨ jɛ:˩˧/
食埋	/sɪk˨ ma:i˨˩/
食堂	/sɪk˨ tʰɔ:ŋ˨˩/
食塞米	/sɪk˨ sɐk˥ mɐi˩˧/
食夜粥	/sɪk˨ jɛ:˨˩ tsʊk˥/
食奶	/sɪk˨ na:i˩˧/, /sɪk˨ la:i˩˧/
食姩	/sɪk˨ ni:n˥/, /sɪk˨ li:n˥/
食宵夜	/sɪk˨ si:u˥ jɛ:˧˥/
食得	/sɪk˨ tɐk˥/
食得做得	/sɪk˨ tɐk˥ tsou˨ tɐk˥/
食得唔好嘥	/sɪk˨ tɐk˥ mou˧˥ sa:i˥/
食得就食	/sɪk˨ tɐk˥ tsɐu˨ sɪk˨/
食得瞓得	/sɪk˨ tɐk˥ fɐn˧ tɐk˥/
食得落	/sɪk˨ tɐk˥ lɔ:k˨/
食得鹹魚就要抵得渴	/sɪk˨ tɐk˥ ha:m˨˩ jy:˨˩ tsɐu˨ ji:u˧ tɐi˧˥ tɐk˥ hɔ:t˧/
食得鹹魚抵得渴	/sɪk˨ tɐk˥ ha:m˨˩ jy:˨˩ tɐi˧˥ tɐk˥ hɔ:t˧/
食慾	/sɪk˨ jʊk˨/
食慾不佳	/sɪk˨ jʊk˨ pɐt˥ ka:i˥/
食慾不振	/sɪk˨ jʊk˨ pɐt˥ tsɐn˧/
食懵咗	/sɪk˨ mʊŋ˧˥ tsɔ:˧˥/
食指	/sɪk˨ tsi:˧˥/
食指浩繁	/sɪk˨ tsi:˧˥ hou˨ fa:n˨˩/
食早餐	/sɪk˨ tsou˧˥ tsʰa:n˥/
食晏	/sɪk˨ ŋa:n˧/, /sɪk˨ a:n˧/
食晏仔	/sɪk˨ ŋa:n˧ tsɐi˧˥/, /sɪk˨ a:n˧ tsɐi˧˥/
食晒	/sɪk˨ sa:i˧/
食晚飯	/sɪk˨ ma:n˩˧ fa:n˨/
食檔	/sɪk˨ tɔ:ŋ˧/
食檸檬	/sɪk˨ nɪŋ˨˩ mʊŋ˥/, /sɪk˨ lɪŋ˨˩ mʊŋ˥/
食欲	/sɪk˨ jʊk˨/
食死貓	/sɪk˨ sei˧˥ ma:u˥/
食水	/sɪk˨ sɵy˧˥/
食水太深	/sɪk˨ sɵy˧˥ tʰa:i˧ sɐm˥/
食水深	/sɪk˨ sɵy˧˥ sɐm˥/
食油	/sɪk˨ jɐu˨˩/
食消夜	/sɪk˨ si:u˥ jɛ:˧˥/
食滯	/sɪk˨ tsɐi˨/
食滯咗	/sɪk˨ tsɐi˨ tsɔ:˧˥/
食無求飽	/sɪk˨ mou˨˩ kʰɐu˨˩ pa:u˧˥/
食煙	/sɪk˨ ji:n˥/
食煙仔	/sɪk˨ ji:n˥ tsɐi˧˥/
食牛肉乾	/sɪk˨ ŋɐu˨˩ jʊk˨ kɔ:n˥/, /sɪk˨ ɐu˨˩ jʊk˨ kɔ:n˥/
食物	/sɪk˨ mɐt˨/
食物中毒	/sɪk˨ mɐt˨ tsʊŋ˧ tʊk˨/
食物店	/sɪk˨ mɐt˨ ti:m˧/
食物鏈	/sɪk˨ mɐt˨ li:n˨˩/
食用	/sɪk˨ jʊŋ˨/
食用鹽	/sɪk˨ jʊŋ˨ ji:m˨˩/
食番餐勁嘅	/sɪk˨ fa:n˥ tsʰa:n˥ kɪŋ˨ kɛ:˧/
食白果	/sɪk˨ pa:k˨ kwɔ:˧˥/
食皇家飯	/sɪk˨ wɔ:ŋ˨˩ ka:˥ fa:n˨/
食碗面反碗底	/sɪk˨ wu:n˧˥ mi:n˧˥ fa:n˧˥ wu:n˧˥ tɐi˧˥/
食穀種	/sɪk˨ kʊk˥ tsʊŋ˧˥/
食管	/sɪk˨ ku:n˧˥/
食管癌	/sɪk˨ ku:n˧˥ ŋa:m˨˩/, /sɪk˨ ku:n˧˥ a:m˨˩/
食粥	/sɪk˨ tsʊk˥/
食糊	/sɪk˨ wu:˧˥/
食翅	/sɪk˨ tsʰi:˧/
食翻餐勁嘅	/sɪk˨ fa:n˥ tsʰa:n˥ kɪŋ˨ kɛ:˧/
食肆	/sɪk˨ si:˧/
食胡	/sɪk˨ wu:˧˥/
食腦	/sɪk˨ nou˩˧/, /sɪk˨ lou˩˧/
食色性也	/sɪk˨ sɪk˥ sɪŋ˧ ja:˩˧/
食落	/sɪk˨ lɔ:k˨/
食藥	/sɪk˨ jœ:k˨/
食蟻獸	/sɪk˨ ŋɐi˩˧ sɐu˧/, /sɪk˨ ɐi˩˧ sɐu˧/
食西北風	/sɪk˨ sɐi˥ pɐk˥ fʊŋ˥/
食言	/sɪk˨ ji:n˨˩/
食言而肥	/sɪk˨ ji:n˨˩ ji:˨˩ fei˨˩/
食評家	/sɪk˨ pʰɪŋ˨˩ ka:˥/
食譜	/sɪk˨ pʰou˧˥/
食貓麪	/sɪk˨ ma:u˥ mi:n˨/
食貓麵	/sɪk˨ ma:u˥ mi:n˨/
食軟飯	/sɪk˨ jy:n˩˧ fa:n˨/
食返餐勁嘅	/sɪk˨ fa:n˥ tsʰa:n˥ kɪŋ˨ kɛ:˧/
食…送…	/sɪk˨ sʊŋ˧/
食過番尋味	/sɪk˨ kwɔ:˧ fa:n˥ tsʰɐm˨˩ mei˨/
食過翻尋味	/sɪk˨ kwɔ:˧ fa:n˥ tsʰɐm˨˩ mei˨/
食過返尋味	/sɪk˨ kwɔ:˧ fa:n˥ tsʰɐm˨˩ mei˨/
食道	/sɪk˨ tou˨/
食道癌	/sɪk˨ tou˨ ŋa:m˨˩/, /sɪk˨ tou˨ a:m˨˩/
食量	/sɪk˨ lœ:ŋ˨/
食錯藥	/sɪk˨ tsʰɔ:˧ jœ:k˨/
食開	/sɪk˨ hɔ:i˥/
食閒口	/sɪk˨ ha:n˨˩ hɐu˧˥/
食雜	/sɪk˨ tsa:p˨/
食霸王飯	/sɪk˨ pa:˧ wɔ:ŋ˨˩ fa:n˨/
食飯	/sɪk˨ fa:n˨/
食飯枱	/sɪk˨ fa:n˨ tʰɔ:i˧˥/
食飯檯	/sɪk˨ fa:n˨ tʰɔ:i˧˥/
食飽	/sɪk˨ pa:u˧˥/
食飽未	/sɪk˨ pa:u˧˥ mei˨/
食餐便飯	/sɪk˨ tsʰa:n˥ pi:n˨ fa:n˨/
食餐冇餸飯	/sɪk˨ tsʰa:n˥ mou˩˧ sʊŋ˧ fa:n˧/
食餬	/sɪk˨ wu:˧˥/
食餸尾	/sɪk˨ sʊŋ˧ mei˩˧/
食鹽	/sɪk˨ ji:m˨˩/
食鹽仲多過你食米	/sɪk˨ ji:m˨˩ tsʊŋ˨ tɔ:˥ kwɔ:˧ nei˩˧ sɪk˨ mɐi˩˧/, /sɪk˨ ji:m˨˩ tsʊŋ˨ tɔ:˥ kwɔ:˧ lei˩˧ sɪk˨ mɐi˩˧/
食齋	/sɪk˨ tsa:i˥/
飡	/tsʰa:n˥/
飢	/kei˥/
飢不擇食	/kei˥ pɐt˥ tsa:k˨ sɪk˨/
飢寒交迫	/kei˥ hɔ:n˨˩ ka:u˥ pa:k˥/
飢渴	/kei˥ hɔ:t˧/
飢腸轆轆	/kei˥ tsʰœ:ŋ˨˩ lʊk˥ lʊk˥/
